,Recording timestamp [μs],Computer timestamp [μs],Sensor,Project name,Export date,Participant name,Recording name,Recording date,Recording date UTC,Recording start time,Recording start time UTC,Recording duration [ms],Timeline name,Recording Fixation filter name,Recording software version,Recording resolution height [px],Recording resolution width [px],Recording monitor latency [ms],Average calibration accuracy [mm],Average calibration precision SD [mm],Average calibration precision RMS [mm],Average calibration accuracy [°],Average calibration precision SD [°],Average calibration precision RMS [°],Average calibration accuracy [px],Average calibration precision SD [px],Average calibration precision RMS [px],Average validation accuracy [mm],Average validation precision SD [mm],Average validation precision RMS [mm],Average validation accuracy [°],Average validation precision SD [°],Average validation precision RMS [°],Average validation accuracy [px],Average validation precision SD [px],Average validation precision RMS [px],Eyetracker timestamp [μs],Event,Event value,Gaze point X [DACS px],Gaze point Y [DACS px],Gaze point left X [DACS px],Gaze point left Y [DACS px],Gaze point right X [DACS px],Gaze point right Y [DACS px],Gaze direction left X [DACS norm],Gaze direction left Y [DACS norm],Gaze direction left Z [DACS norm],Gaze direction right X [DACS norm],Gaze direction right Y [DACS norm],Gaze direction right Z [DACS norm],Pupil diameter left [mm],Pupil diameter right [mm],Pupil diameter filtered [mm],Validity left,Validity right,Eye position left X [DACS mm],Eye position left Y [DACS mm],Eye position left Z [DACS mm],Eye position right X [DACS mm],Eye position right Y [DACS mm],Eye position right Z [DACS mm],Gaze point left X [DACS mm],Gaze point left Y [DACS mm],Gaze point right X [DACS mm],Gaze point right Y [DACS mm],Gaze point X [MCS norm],Gaze point Y [MCS norm],Gaze point left X [MCS norm],Gaze point left Y [MCS norm],Gaze point right X [MCS norm],Gaze point right Y [MCS norm],Presented Stimulus name,Presented Media name,Presented Media width [px],Presented Media height [px],Presented Media position X [DACS px],Presented Media position Y [DACS px],Original Media width [px],Original Media height [px],Eye movement type,Gaze event duration [ms],Eye movement type index,Fixation point X [DACS px],Fixation point Y [DACS px],Fixation point X [MCS norm],Fixation point Y [MCS norm],Ungrouped,Client area position X [px],Client area position Y [px],Viewport position X [px],Viewport position Y [px],Viewport width [px],Viewport height [px],Full page width [px],Full page height [px],Mouse position X [DACS px],Mouse position Y [DACS px],gaze hit,hardcore_hit
39,88786464,145884857778,Eye Tracker,IdentiGaze-prototype,2023-03-30,chungha,Recording20,2023-03-20,2023-03-20,14:11:59.980,05:11:59.980,270054,Timeline1,Tobii I-VT (Fixation),1.207.44884,1080,1920,10.0,0.6,2.1,2.2,0.05,0.17,0.19,2,7,7,7.9,5.3,2.1,0.7,0.45,0.18,25,17,7,145950537575.0,,,984.0,534.0,994.0,537.0,975.0,530.0,0.06347,0.08331,-0.9945,-0.04789,0.07644,-0.99592,3.69,3.58,3.638,Valid,Valid,269.3,114.0,641.5,335.1,116.2,639.9,310.2,167.7,304.3,165.3,0.5128,0.494,0.5177,0.4975,0.5078,0.4905,Screen Recording,Screen Recording Recording20.mp4,1920.0,1080.0,0.0,0.0,1920.0,1080.0,Fixation,233.0,184.0,986.0,543.0,0.5135,0.5031,,,,,,,,,,,,no hit,0
40,88794797,145884866111,Eye Tracker,IdentiGaze-prototype,2023-03-30,chungha,Recording20,2023-03-20,2023-03-20,14:11:59.980,05:11:59.980,270054,Timeline1,Tobii I-VT (Fixation),1.207.44884,1080,1920,10.0,0.6,2.1,2.2,0.05,0.17,0.19,2,7,7,7.9,5.3,2.1,0.7,0.45,0.18,25,17,7,145950545908.0,,,988.0,548.0,997.0,553.0,978.0,543.0,0.06496,0.09082,-0.99375,-0.04624,0.0829,-0.99548,3.718,3.603,3.651,Valid,Valid,269.3,114.0,641.4,335.1,116.3,639.8,311.2,172.6,305.3,169.6,0.5145,0.5076,0.5194,0.5121,0.5096,0.503,Screen Recording,Screen Recording Recording20.mp4,1920.0,1080.0,0.0,0.0,1920.0,1080.0,Fixation,233.0,184.0,986.0,543.0,0.5135,0.5031,,,,,,,,,,,,no hit,0
41,88803130,145884874444,Eye Tracker,IdentiGaze-prototype,2023-03-30,chungha,Recording20,2023-03-20,2023-03-20,14:11:59.980,05:11:59.980,270054,Timeline1,Tobii I-VT (Fixation),1.207.44884,1080,1920,10.0,0.6,2.1,2.2,0.05,0.17,0.19,2,7,7,7.9,5.3,2.1,0.7,0.45,0.18,25,17,7,145950554241.0,,,988.0,541.0,1002.0,542.0,974.0,540.0,0.06706,0.08559,-0.99407,-0.04856,0.08106,-0.99553,3.696,3.612,3.653,Valid,Valid,269.3,114.0,641.5,335.1,116.4,639.8,312.6,169.3,303.9,168.5,0.5144,0.501,0.5216,0.5021,0.5071,0.4998,Screen Recording,Screen Recording Recording20.mp4,1920.0,1080.0,0.0,0.0,1920.0,1080.0,Fixation,233.0,184.0,986.0,543.0,0.5135,0.5031,,,,,,,,,,,,no hit,0
42,88811464,145884882778,Eye Tracker,IdentiGaze-prototype,2023-03-30,chungha,Recording20,2023-03-20,2023-03-20,14:11:59.980,05:11:59.980,270054,Timeline1,Tobii I-VT (Fixation),1.207.44884,1080,1920,10.0,0.6,2.1,2.2,0.05,0.17,0.19,2,7,7,7.9,5.3,2.1,0.7,0.45,0.18,25,17,7,145950562574.0,,,989.0,542.0,999.0,550.0,979.0,534.0,0.06585,0.08906,-0.99385,-0.04613,0.07835,-0.99586,3.725,3.602,3.66,Valid,Valid,269.3,114.1,641.4,335.1,116.4,639.7,311.8,171.5,305.5,166.8,0.515,0.5018,0.5203,0.5089,0.5097,0.4947,Screen Recording,Screen Recording Recording20.mp4,1920.0,1080.0,0.0,0.0,1920.0,1080.0,Fixation,233.0,184.0,986.0,543.0,0.5135,0.5031,,,,,,,,,,,,no hit,0
43,88819797,145884891111,Eye Tracker,IdentiGaze-prototype,2023-03-30,chungha,Recording20,2023-03-20,2023-03-20,14:11:59.980,05:11:59.980,270054,Timeline1,Tobii I-VT (Fixation),1.207.44884,1080,1920,10.0,0.6,2.1,2.2,0.05,0.17,0.19,2,7,7,7.9,5.3,2.1,0.7,0.45,0.18,25,17,7,145950570907.0,,,990.0,541.0,999.0,544.0,981.0,539.0,0.06594,0.08603,-0.99411,-0.04519,0.08064,-0.99572,3.705,3.584,3.656,Valid,Valid,269.3,114.1,641.4,335.1,116.5,639.7,311.9,169.6,306.1,168.3,0.5156,0.5013,0.5204,0.5033,0.5108,0.4993,Screen Recording,Screen Recording Recording20.mp4,1920.0,1080.0,0.0,0.0,1920.0,1080.0,Fixation,233.0,184.0,986.0,543.0,0.5135,0.5031,,,,,,,,,,,,no hit,0
44,88828131,145884899445,Eye Tracker,IdentiGaze-prototype,2023-03-30,chungha,Recording20,2023-03-20,2023-03-20,14:11:59.980,05:11:59.980,270054,Timeline1,Tobii I-VT (Fixation),1.207.44884,1080,1920,10.0,0.6,2.1,2.2,0.05,0.17,0.19,2,7,7,7.9,5.3,2.1,0.7,0.45,0.18,25,17,7,145950579241.0,,,988.0,544.0,995.0,554.0,981.0,533.0,0.06397,0.09107,-0.99379,-0.0451,0.07746,-0.99597,3.73,3.591,3.656,Valid,Valid,269.3,114.2,641.3,335.1,116.6,639.5,310.6,173.0,306.2,166.3,0.5146,0.5033,0.5183,0.5131,0.5109,0.4934,Screen Recording,Screen Recording Recording20.mp4,1920.0,1080.0,0.0,0.0,1920.0,1080.0,Fixation,233.0,184.0,986.0,543.0,0.5135,0.5031,,,,,,,,,,,,no hit,0
45,88836465,145884907779,Eye Tracker,IdentiGaze-prototype,2023-03-30,chungha,Recording20,2023-03-20,2023-03-20,14:11:59.980,05:11:59.980,270054,Timeline1,Tobii I-VT (Fixation),1.207.44884,1080,1920,10.0,0.6,2.1,2.2,0.05,0.17,0.19,2,7,7,7.9,5.3,2.1,0.7,0.45,0.18,25,17,7,145950587574.0,,,988.0,542.0,1002.0,542.0,974.0,542.0,0.06742,0.08505,-0.99409,-0.04869,0.08203,-0.99544,3.709,3.606,3.658,Valid,Valid,269.3,114.2,641.3,335.1,116.6,639.6,312.8,169.1,303.9,169.3,0.5146,0.502,0.5221,0.5017,0.5071,0.5023,Screen Recording,Screen Recording Recording20.mp4,1920.0,1080.0,0.0,0.0,1920.0,1080.0,Fixation,233.0,184.0,986.0,543.0,0.5135,0.5031,,,,,,,,,,,,no hit,0
46,88844798,145884916112,Eye Tracker,IdentiGaze-prototype,2023-03-30,chungha,Recording20,2023-03-20,2023-03-20,14:11:59.980,05:11:59.980,270054,Timeline1,Tobii I-VT (Fixation),1.207.44884,1080,1920,10.0,0.6,2.1,2.2,0.05,0.17,0.19,2,7,7,7.9,5.3,2.1,0.7,0.45,0.18,25,17,7,145950595907.0,,,986.0,539.0,1000.0,539.0,971.0,539.0,0.06614,0.08373,-0.99429,-0.04973,0.08021,-0.99554,3.703,3.628,3.672,Valid,Valid,269.3,114.3,641.4,335.1,116.6,639.7,312.0,168.3,303.2,168.2,0.5133,0.4991,0.5207,0.4993,0.506,0.4989,Screen Recording,Screen Recording Recording20.mp4,1920.0,1080.0,0.0,0.0,1920.0,1080.0,Fixation,233.0,184.0,986.0,543.0,0.5135,0.5031,,,,,,,,,,,,no hit,0
47,88853132,145884924446,Eye Tracker,IdentiGaze-prototype,2023-03-30,chungha,Recording20,2023-03-20,2023-03-20,14:11:59.980,05:11:59.980,270054,Timeline1,Tobii I-VT (Fixation),1.207.44884,1080,1920,10.0,0.6,2.1,2.2,0.05,0.17,0.19,2,7,7,7.9,5.3,2.1,0.7,0.45,0.18,25,17,7,145950604241.0,,,987.0,538.0,1000.0,545.0,975.0,532.0,0.06604,0.08636,-0.99407,-0.04794,0.07691,-0.99588,3.725,3.619,3.675,Valid,Valid,269.3,114.3,641.4,335.2,116.7,639.7,312.0,170.0,304.4,166.1,0.5142,0.4986,0.5206,0.5044,0.5079,0.4928,Screen Recording,Screen Recording Recording20.mp4,1920.0,1080.0,0.0,0.0,1920.0,1080.0,Fixation,233.0,184.0,986.0,543.0,0.5135,0.5031,,,,,,,,,,,,no hit,0
48,88861467,145884932781,Eye Tracker,IdentiGaze-prototype,2023-03-30,chungha,Recording20,2023-03-20,2023-03-20,14:11:59.980,05:11:59.980,270054,Timeline1,Tobii I-VT (Fixation),1.207.44884,1080,1920,10.0,0.6,2.1,2.2,0.05,0.17,0.19,2,7,7,7.9,5.3,2.1,0.7,0.45,0.18,25,17,7,145950612575.0,,,988.0,543.0,1002.0,550.0,974.0,536.0,0.06729,0.08886,-0.99377,-0.04875,0.07867,-0.99571,3.736,3.63,3.677,Valid,Valid,269.3,114.3,641.4,335.2,116.8,639.6,312.8,171.7,303.8,167.3,0.5145,0.5028,0.522,0.5094,0.507,0.4963,Screen Recording,Screen Recording Recording20.mp4,1920.0,1080.0,0.0,0.0,1920.0,1080.0,Fixation,233.0,184.0,986.0,543.0,0.5135,0.5031,,,,,,,,,,,,no hit,0
